첵제목,작가명,내용요약
비공식고용의 해결을 위한 법률시스템 국제비교: ‘탈법고용’을 중심으로,,"영국의 노동문제를 감독하는 보건안전청을 비롯하여 고용 소개업감독부, 환경 농림축산부, 갱마스터 면허국, HMRC가 있다. 보건안전청과 HMRC는 모든 산업에 걸쳐 수행한다."
2017년 8월 농업기술 (통권 615호),,"농가맛집은 이 시대가 밥상 속에서 찾는 것이 무엇인지 고민하여 고객의 마음을 읽어내고, 밥상 속에서 농업, 농촌, 전통과 문화를 이야기하는 점에서 일반식당과 다르다."
"20대 청년, 후기청소년정책 중장기 발전전략 연구",김지경,"검토보고에서는 두 법안 모두 청년을 정의하는 연령 범위가 넓고 대상자 규모가 커서 법안의 실효성이 저하될 수 있다고 보았으며, 주관부처는 여성가족부가 적절할 것으로 평가하였다."
이머징 기술의 위험에 대한 회복력 관전에서의 대응방안,,정치사회적 모호성은 같은 위험 상황에 대해 다른 해석이 공생하기 때문에 등장하고 이 해석적 모호성은 해석의 다양성에서 생기며 이로 인해 사회는 같은 위험도 다른 평가를 하게 되는데 받아들이는 기준에 대해서도 서로 다른 관점을 갖고 있기 때문에 규범적인 모호성도 존재한다.
CLMV 국가의 에너지 보급을 위한 개발협력 프로그램 연구,,"일본은 화석 연료에 기초한 가스, 석유 등 탄소 배출량이 많은 에너지원 분야에 대한 지원 비율이 높고, 케냐 등 프로젝트 지원 비중의 편차가 심해 재생에너지원 지원에 대한 전략적 접근이 부족하다."
에너지빈곤층 추정 및 에너지 소비특성 분석,,Hills교수는 영국정부의 요청에 따라 에너지빈곤의 기준을 재검토하여 ‘Low Income High Cost’라는 기준을 새롭게 제안했다.
미래산업을 둘러싼 메가트렌드와 우리 산업에의 시사점,,"설문 결과, 경제분야 메가트렌드는 산업적 영향력이 강하지만 부정적인 경우 또한 적지 않으므로 주의가 필요하다. 한편, 환경과 정치 분야 메가트렌드는 응답자의 절반 이상이 한국산업에 부정적인 영향을 끼친다고 응답했다."
2014 행정자치백서,,"3단계는 설계·시공 분리방식을 결정하고, P. A의 관리 아래 국제설계공모를 진행해 시공사를 채택했다. "
혐오표현 진단과 대안마련 토론회,,"사건사고를 계기로한 소수자의 인권과 사회적 고찰은 적절하지만 동아일보는 부정적 인식을 강화키는 보도를 낸 바 있으며, 이는 소수자에 대한 혐오를 남길 우려가 있다."
2016년 기업의 연구개발투자와 성과 : 2016 과학기술혁신지표연구,,"건설산업 기업의 특허출원 건수는 한전케이피에스·현대건설·지에스건설·대림산업·대우건설 순이다. 1,2위 기업은 10개 이상, 나머지는 수 개 수준으로 기업전체 평균 수준에는 많이 못 미친다."
지방자치단체 지방직공무원 육아휴직 활용실태 및 개선방안,,"육아휴직 경험자와 비경험자의 보직배치나 성과급 비교에 있어서 비경험자가 경험자보다 주요 보직을 맡을 가능성이 크고, 성과급 역시 동일한 등급을 유지할 비율은 비경험자가 높다."
적극행정의 저해·촉진 요인과 활성화 방법,한국행정연구원,질병관리본부가 메르스 보다 신종코로나 19에 잘 대처할 수 있었던 이유는 시스템 수준에서 재량권을 바탕으로 자원을 동원하고 신속하게 대응할 수 있었기 때문이다.
2016~2020년 국가재정운용계획,한국개발연구원,사업성과를 조기에 가시화하기 위해 사업절차 간소화 등의 인센티브를 강화해야 한다. 사업절차 간소화를 위해서 지구지정 절차를 간소화하거나 토지소유자 동의 절차 이행시기를 조정할 수 있다.
예산과정의 지출검토제도(spending review) 도입 방안 연구,탁현우,이를 내실화하고 계획의 구속력을 강화하는 형태로 지출 검토가 도입된다면 배분적 효율성이 달성될 것으로 평가하고 있다고 보인다.
5G 이동통신 분야 표준문서 검색 가이드,,"증가하는 트래픽을 수용하기 위해 이용되지 않았던 주파수 대역(3GHz~6GHz)을 추가로 확보하고 있고 보다 효율적인 스펙트럼 공유 방식을 적용하고, 6GHz 이상의 주파수 또한 기지국 간 무선 백홀 링크용, hotspot에서 단말 서비스용까지 이용하기 위해 노력할 것이다."
"세대통합을 위한 교육,정보체제개선 전략 연구(Ⅱ): 미래전망 및 세대통합성 진단검사 개발",,"세대통합교육의 활성화는 정보 제공및 효용성에 대한 충분한 안내가 필요하다. 그러나 세대통합의 필요성에는 공감하지만, 세대통합교육의 필요성은 충분한 논의가 이루어지지 않았다. 이러한 환경은 과제로 남아있다."
해운기업의 선박투자 행태 분석과 대응방안 (Analysis of Ship Investment Behavior of Shipping Companies and Counter-measures),"김태일, 윤재웅, 박성화","그리스 해운 선주들의 기업가적 철학은 성실, 신의, 충성심과 같은 독특한 비즈니스 문화를 낳아 기업문화와 경영스타일에 영향을 미쳤다. 시의적절한 의사결정과 시장상황 변동에 따른 신속한 대응에 적합한 중앙집중형 관리방식으로 효율적 선대확장과 해운시장 변동에서의 적응 등을 이뤘다."
Click 경제교육,한국개발연구원,"미국의 초·중등 교육 발전이 다른 국가들보다 앞선 이유는 민주주의가 일찍 성숙하여 세금에 기반을 둔 공교육의 도입이 보다 수월하였고, 또 지방정부에게 학교 설립과 교육세 징수권한이 부여됐기 때문이다."
공소시효의 정지‧연장‧배제와 소급효,강동범,"2007. 12. 21 의 개정 형사소송법은 공소시효기간을 일률적으로 연장하면서 부칙 제2조에서 소급효를 부정하였음에 반하여, 살해범죄의 공소시효를 배제하는 규정을 신설할 때에는 부칙 제2조가 부진정소급효를 인정하였다."
"한국교육 제42권 제1호, 2015년 4월",,"직무만족의 접근 방식 세 가지 중 첫째는 직무만족을 개인의 욕구충족 정도로 보는 입장, 둘째는  직무만족을 기대로 보는 입장이다."
"문화재, 제52권 제1호",,"지역적 색채가 강한 ‘군마 실크유산’ 사업이 세계유산과 일본유산 사업의 구성요소를 망라하는 것은, 지역의 유산을 데이터베이스화해 상생 효과를 높이기 위함이다. 이는 세계유산 등재 추진 활동이 “문화유산을 인증하는 새로운 제도의 창설로 이어졌다”는 견해와도 맥이 같다."
문화기술 연감,한국콘텐츠진흥원,"머시니마는 직접 게임 속에서 애니메이션 영화를 제작하는 것을 말한다. 이는 보통 게임 속에서 사용 가능한 툴과 리소스를 통해 제작된다. 초기에는 단순하고 짧은 영상이었으나, 현재는 전문 영화 장르로 구분될 만큼 발전하였다."
코넥스(Konex) 활성화 방안에 대한 연구,,정부는 코넥스시장 개설 이후 점차적으로 세제지원책을 마련해왔으며 코스닥 상장법인에 준하는 세제를 지원하고 있다. 벤처캐피탈이 상장 2년 이내 코넥스 상장기업에 출자하면 세제를 지원하는 것뿐만 아니라 코넥스 상장기업에 대한 자유로운 투자를 허용함으로써 코넥스시장의 수요확대를 도모하고 있다.
한 소규모 초등학교 교사들의 혁신학교에 대한 질적 사례연구,,여름계절학교의 점심을 G교사의 자발적인 참여로 해결했는데 그의 선두적인 자발성이 연쇄적으로 참여를 끌어 냈다. 그중에서도 햇빛초 교감선생님의 수업지원은 특별한 사례인데 자신의 국악 재능을 기부하는 형식으로 교사의 수업을 지원했다. 자신들의 업무 부담을 덜어준 지원에 교사들은 감사를 표했으며 이에 힘입어 더욱 자발성과 적극성을 보였다.
학령기 아동의 사교육 이용에 대한 종단적 변화 및 예측요인,"김신경, 김소아, 송요현",전체 학생 중에 하위성적 20%의 학생과 상위성적20%학생이 지출한 과외비가 가장 많았다. 이 사실에 근거하여 사교육을 이용하는 학생은 맹목적이기보다는 합리적인 판단으로 사교육에 많은 시간과 비용을 투자한다.
미래사회 패러다임 전환에 따른 평생학습체제 재구축의 전략과 과제,박인섭,"외국인을 위한 강좌 운영이 가능하고 각종 대학 재정지원사업, 대학특성화사업 등 대상 대학이 희망한다면 K-MOOC 강좌 개발이 가능하다. 해당 강좌는 정규 학점 등으로 활용되고 있다. "
韓·日 FTA의 경제적 효과와 정책시사점,鄭仁敎, 한/일FTA는 서비스분야 자유화가 핵심쟁점이 될 것이다. 특히 한국은 무역 및 운송업에 대한 비관세장벽이 높다. 한/일FTA는 모든 비관세장벽의 제거는 어려울 것으로 보여 본 연구는 50%만 제거되는 것으로 가정한다.
중소기업청과 함께 가는 징검다리,중소기업청,빨라진 경제 위기 주기로 인한 기업 성장환경의 급격한 변화와 연계성이 부족한 정부 지원 사업으로 인해 중소기업의 위기관리 역량 제고과 기초체질 개선에 한계가 있었다.
공간 빅데이터를 활용한 국토도시 정책방안 연구,,"빅데이터와 공간 빅데이터의 특성상 알려지거나 공개되지 않은 빅데이터가 더 많을 것이므로, 아직 인식되지 않은 빅데이터를 발굴하고 그 활용방안을 찾는 것도 중요하다."
강마을 지역경제 활성화를 위한 전략 (Strategy for the Vitalization of Regional Economies in Inland Fishing Communities Network),박상우,심한 내수 불황 속에서 제일 어려운 계층이 벼랑 끝으로 몰렸습니다.
예술영화관 지원정책 연구,김미현,"<와이키키 브라더스>, <라이방>, <나비>, <고양이를 부탁해>의 ‘와라나고’의 참패는 폭력과 코미디에 경도된 주류 한국영화산업에 대한 우려를 공론화하였다."
지방자치단체 지방직공무원 육아휴직 활용실태 및 개선방안,,"일부개정 및 시행을 통해 육아휴직제도를 개선하였다. 대상 확대 및 결원보충 요건을 완화했다. 만6세이하 자녀 양육으로 확대하고, 육아휴직기간을 3년 이내로 확대하였다."
"한국 바이오벤처 20년 : 역사, 현황, 발전과제",,"표 3-7을 보면, 기업이 핵심 배태조직이다. 기업 출신 창업은 두 유형으로 나뉜다. 기존 제약업계나 벤처기업 등에서 나온 연구자들이 기술집약도가 큰 기업을 창업하는 것과 중저기술 부문에서 경력자들이 기술집약도가 적은 기업을 창업하는 것이다. 국내는 후자가 많다."
정념의 인식론,"그레마스, A.J.",이러한 기교는 객관주의 경향과 개성 없는 특성을 어떤 것이든 높은 인식론적 위치로 옮겨 고상히 만든다. 그러나 그것은 헤아릴 수 없는 생각으로 실존한다.
미국의 상쇄전략에 관한 군사 이론적 분석 : 전통주의적 관점과 체계적 관점의 이론화 방법 비교를 중심으로,박상연,나폴레옹은 사후 자신의 전역을 평가하면서 프리드리히와 자신의 차이점은 결정적 전투 이후에도 적이 완전히 패퇴할 때까지 연속적 추격을 감행한 것이라고 강조했다.
창의적 혁신 조직의 속성 연구 (Attributes Analysis of Creative Innovation Organizations),"장필성, 장훈, 안형준, 이세민, 이준호, 이정찬, 박수원, 고영호, 송창현, 김도연","또한 최근 강조되고 있는 자율성에 대해 시사한다. 자율적인 환경이 근무를 방만하게 할까 걱정되곤 하는데, 수립한 목표와 과정이 공개되는 데다 동료들과 협력하기 때문에 그러지는 않는다. 또 조직들은 타임라인과 기준을 중요하게 여긴다."
일정기준 미만의 공중이용시설에 대한 장애인 접근성 실태조사,,독일에는 배리어프리라는 모두에게 출입이 허용된 공중시설에 장애인 접근권의 개념을 언급하고 있으나 미국의 장애인법이나 한국의 장애인차별금지법과 같은 단일 법령이 없다보니 연방과 주 사이의 일관성 있는 장애인정책의 실현이 어렵다고 한다.
지방분권 개혁의 과제,한국행정연구원,지방분권의 추진은 공유와 대화가 있는 제도적 틀을 만드는데 의미가 있다. 민주적 가치를 달성하기 위한 민주화의 역사는 참여자들의 대등한 조건과 신뢰 확장의 형성과정에서 비롯되었다.
교육광장 2016 겨울호 (Vol. 62),,"세금으로 민간 시장을 열어주는 대신 공교육 자원을 뺏길 것이며, 미국이실패한 것처럼 학생 피해를 이유로 이 법안을 반대하는 의견도 있다. 하지만  교육의 디지털화 추진은 기정사실로 받아들여지고 있다."
최저생계비 이하 비수급빈곤층 인권상황 실태조사,,최유는 사회권적 기본권의 주체성 인정 여부가 외국인의 생활을 기초로 보았을 때 대두될 수 있다 주장한다. 쟁점은 시민권인데 이는 '권리를 취득할 수 있는 권리'로 영미 등의 식민지 경영 국가에서 시작됐다.
소셜 로봇의 미래 : 2019년 기술영향평가 결과,,"일본 와세다 대학교는 주위 상황을 인식하고 피아노도 치며 인간과 대화하는 이족보행 휴머노이드 ‘와봇 ’을 완성했다. 이후혼다 시리즈, 아시모 등 이족보행 로봇의 개발이 이어졌다."
2015 인구주택총조사 인터넷조사표 설계,박영실,"컴퓨터가 자료수집 과정에 도입된 것은 1970년대 소형컴퓨터가 발전하면서인데, CATI 및 CAPI와 같은 용어가 이때 출현했고 1980년대 인터넷 등장으로 네트워크를 통해 자료를 수집하기 시작, 최초의 인터넷조사는 이메일 방식이었고, World Wide Web 도입으로  웹조사가 활발해졌다."
북한 이해,통일교육원,그러나 화폐계혁은 실패로 끝나고 말았다. 이는 이미 북한의 경제체제가 계획경제와 시장경제로 이분화 돼 시장에 의존하는 부분이 커졌기 때문이며 이에따라 더는 과거로 돌아갈 수 없게 되었다.
아시아지역의 인권 제고 방안에 관한 연구,박경철,도미니카 공화국에서의 제1회 현지조사는 OAS와 미주인권위원회가 함께 이루어 냈다. 1회 현지조사는 인권 상황을 연구하기 위한 것이었고 2회 현지조사는 개인적 신청이었다.
2011 한국의 사회동향,,"장학금은 학비면제나 내부장학금 형태로 지급받으며 입학금,기성회비를 면제받는것으로 등록금을 충당할순없다. 그리고 1인 수혜액이라 전체를 대표하긴 힘들다."
규제정책 평가 및 관리 개선방안 : 기존 규제정비제도를 중심으로,,"김대중 정부 출범직전에는 IMF가 경제구조 개혁 등을 요구하였기에, 강력한 규제개혁 작업에 들어갔다. 이때 제시된 ‘기업하기 좋은 나라, 생활하기 편한 나라’는 당시의 국가경제 측면에서는 타당한 목표였다."
제4차 산업혁명 시대의 지역인적자원개발,"김형만, 강홍렬, 김창환, 김영생, 한애리, 김호진","교사가 교육과정 다른 교과과정과 협력하고 외부 전문가와 네트워크를 형성하거나 현장체험을 결합시키는 등, 전문성을 발휘하여 교육과정을 개발하고 유연하게 실현할 때 학생 중심의 교육이 이루어진다."
한국과 독일 금형산업의 노동시장과 숙련형성 비교연구,,"CAE 기술은 금형설계공정에서 상당한 시간과 비용을 지불하고 CAE를 실제 활용해 본 경험들을 통해서 노하우가 얻어지기 때문에 고가의 장비와 CAE 소프트웨어가 있어도 쉽게 전달할 수도 없고, 그런 교육을 한다고 해도 직접 경험해 보지 않고 노하우나 CAE를 이용한 해석 능력을 키울 수도 없어 전문 인력 양성에 어려움이 있다."
2018년도 문화재위원회 제4차 사적분과위원회 회의록,문화재위원회,"동천동유적에서 청동기시대의 경작의 흔적도 확인되었다. 지석묘군의 크기에는 상호간 차이가 확이되나, 그간의 교란과 파괴를 감안하면 불확실성이 존재한다. 또 지석묘별로 부장품에 차이가 있다."
국민여가활성화를 위한 문화서비스 개선 연구,장훈,문화향유의 불평등 문제 논의를 위해서 문화 민주화와 문화민주주의 논의부터 생각해야한다. 문화 민주화는 고급문화 향유의 불평등을 개선하겠다는 취지이다. 이는 사회구조적 계층의 불평등 또는 차이를 극복하기 위함이지만 문화적 취향을 외면한다는 문제가 있다.
한·중 ICT 벤처·스타트업 및 공동연구 협력방향 연구,정보통신정책연구원,"중국의 지방정부들은 창업 환경 조성과 ICT 대기업의 대규모 자금 투자를 통해 인공지능산업 창업 생태계를 성장시키고 있다. 중국 항저우는 2017년 인공지능 타운을 설립하여, 정착금과 창업보조금을 지원해 인공지능 인재를 육성하고, 입주한 창업기업에게 사업화 기금, 주택 등을 지원하는 등의 인공지능 육성 지원정책을 실시한다."
통일독일의 동독 주거보조금 경험에 기초한 통일 이후 북한 지역의 주거급여 적용방안 연구,"민기채, 주보혜","구동독 지역에 살던 주민들에 대한 주거보조금 지원이 시급했던 이유는 통일 이후 동독의 급격한 임대료 상승이 예측됐기 때문이고, 이러한 변화가 제도 안에서 이루어질 수 있게 두 번의 합법적 임대료 상승을 단행했다."
행복도시이야기. 제7호,,"대전 유성구에서 행복도시로 오는 길에는 특별한 시설이 있는데, 도로 중앙에 설치된 자전거도로와 자전거도로 위에 설치된 태양광 발전시설이다. 자전거도로를 활용한 태양광 시설은 기존의 태양광 설치 방식과는 달리 도시 미관과의 조화, 구조체의 다양성, 태양광 모듈 배치의 변화를 생각해 예술적 디자인으로 설치/완공했다.  "
재정 상황 변화에 대응한 연구개발 예산 및 조세지원 대응방안,,"글로벌 경제위기는 첫째 자유주의, 신자유주의 경제이론에 심각한 도전을 받았다. 둘째 부채가 많은 국가들의 재정건전성 문제가 제기됐다. 세째 자본주의 질서의 개편을 원하는 대중적 시위를 유발했다."
사회복지체계 정부조직 기능과 인력 재조정 방안,,"이민정책기능은 분산화되어 있는데, 일부 부처는 자신 부처의 기능 강화를 주장한다. 그러나 그런 기능 강화의 요구와 달리 선진국의 실패사례와 기술발달로 인해 외국인 유입이 증가할 가능성은 낮다."
배임죄의 성립범위에 관한 연구,강동범,"경영판단원칙의 정당성은 유능한 경영자의 혁신적인 업무수행을 위한 경영판단, 합리적인 결정, 신속한 판단등을 요구할 시 결과에 대한 유한책임을 허용하여, 진취적이고 혁신적인 회사운영을 위해 위험을 감수한 이사의 경영 판단을 인정하는 이유이다."
국민 삶의 질 향상을 위한 문화체육관광 정책의 성찰과 향후 과제의 모색,한국문화관광연구원,"DCMS으로부터의 보조금은 매년 ACE로 교부돼, DCMS의 예산으로부터 독립적으로 사용될 수 있다.  ACE는 DCMS에 보조금과 관련되어 정보를 월간 제공한다. ACE의 DCMS에 대한 책임은 DCMS 정책목표 달성에 도움이 되기 위해, 자원이 목적달성을 위해 어떻게 사용되었는지 알려줘야 한다는 것이다."
한국의 사회동향,통계청 통계개발원,"이처럼 한국의 대사증후군 유병률은 미국, 일본 등 선진국과 크게 다르지 않은 수준이다."
"노인보호전문기관의 노인학대 재접수사례와 신규사례의 비교 : 노인, 학대행위자, 학대상황 특성을 중심으로","이미진, 장고운","학대 피해노인에게 주거지원, 돌봄지원, 소득지원 등을 통해 노인의 자립을 유도함으로써 학대로부터 벗어날 수 있도록 해야 한다."
글로벌 시대 소셜 미디어와 디지털 문화정책의 미래,,"트위터 앰플리파이는 TV 방송 중 비디오 클립을 동시에 하는 일종의 티비 연계 광고 솔루션이며 수익은 방송사와 트위터가 나눠 갖는다. 폭스, 퓨즈 등의 방송사 및 매체들이 파트너십을 하고 있다."
2017년도 문화재위원회제1차 동산문화재분과위원회 회의자료,문화재청,"존상들은 넓적한 얼굴에, 평범한 이목구비로 정감있고 대중적이며, 옷 주름은 간결하고 대체로 3-4등신의 단구적인 형태미를 보인다. 17세기 후반의 조각승 단응과 탁밀에 의해 제작된 것으로 추정된다."
현대사광장,,저자는 총론에서 오늘의 한국사회는 갈등 정치를 넘어서 연대적 공존을 시대정신으로 요청하고 있다고 말하면며 완벽한 평등과 완벽한 경쟁이 하나의 사회 안에서 공존하고 다름이 갈등으로 이어지지 않게 다스리는 독특한 문화적 습속을 지닌 스웨덴을 사례로 들고 있다.
법원의 국제인권기준 적용 심포지엄,,"법률을 직접적인 재판규범으로 해석하고 적용하는 법원은 국제인권조약의 국내 효력을 확인, 국제조약과 국내법에 문제가 생겼을때 해결 기준을 제시, 국제법으로도 타당한 해석과 적용을 하는 기관이다."
풀뿌리 민주주의 지방자치,경제·인문사회연구회,"보육료 지원사업의 이용 자격과 지원금의 차이, 서비스 이용량의 차이, 어떤 주체가 서비스를 해야 하는가의 문제는 중앙정부의 시행령과 규정으로 각 지자체에 전달된다."
창의 인재 양성을 위한 고등교육 체제 혁신 방안 연구,김미란,"개별 대학의 특성화를 촉진할 수 있도록 정부의 재정지원사업 개편이 필요한데, 특히 교육역량 강화사업은 현재 취약한 창의성 관련 노력을 이끌 성과 지표 개발과 질 관리가 요구된다."
수영 영재 훈련 프로그램 : 수탁과제연구보고서,국민체육진흥공단 체육과학연구원,유선형에서 수영의 속도를 내려면 낮은 저항을 위해 양발을 많이 안벌리고 몸을 수평 유지해야 한다. 크롤의 물장구는 발을 많이 안벌려 비교적 빨리 나가지만 평영은 빨리 안가진다.
"통일의 외교안보 편익 분석 및 대주변국 통일외교 전략(대외경제정책연구원, 2014)",,"본 연구는 한반도 통일이 주변국에 어떤 외교안보적 편익을 줄 수 있는지를 검토했다. 북핵과 북한 문제의 해결과 같은 공통의 편익도 존재하며, 상충되는 편익이나 국가간 경쟁구도에 있어선 한국의 통일외교 전략이 중요해진다. 통일외교는 다음의 과제를 달성하는 데 주력해야 한다."
타부처(지자체) 소관 규제발굴 및 개선방안 연구,,"먼저 카드업 외의 여신금융전문업은 하나의 업종으로 등록하여 쓸데없는 장벽을 제거해야 한다. 이를 통해 맞춤형 금융서비스를 제공할 수 있다. 부수업무도 원칙허용·예외 금지로 변경하여 자율성을 높여야 하며, 이들이 투자할 수 있도록 규제를 개선해야 한다."
디지털 전환과 포용사회,정보통신정책연구원,분배적 정의 차원에서 '로봇세'의 도입에 대한 철학적 논의가 진행되야 한다.
한국 아동·청소년 패널조사,한국청소년정책연구원,"전통적으로 경제자본은 행복을 결정하는 요인으로 부의 축적이 개인의 행복을 높일 것이라고 가정하였으나 최근 경제학자들은 국가 소득, 개인소득이 행복이라는 데 한계가 있음을 인식하게 되었다. 경제자본의 성장이 환경 파괴를 불러와 오히려 행복을 감소시킬 수도 있음을 간과하면 안 된다고 주장하며 경제자본과 행복의 연관성을 보다 면밀히 검토해볼 필요성을 대두시킨다."
동북아 안보환경에서 스텔스 전투기의 전략적 유용성과 한국 공군에 주는 함의,,"일본은 글로벌호크 무인정찰기를 조어도에 집중시키고 F-35는 일본 영토 인근의 공중우세를 확보 유지하는 데 사용될 것이다. 또한, G2의 팽창가능성에 대한 대응에 집중할 것이다."
통합체육 수업 안내서,문화체육관광부,ADHD학생의 체육수업 시에는 주의 산만 요소를 학생의 뒤로 배치시키거나 용기구를 사용하기 전까지는 설치하지 않으며 외부 소음과 물체를 제거하는 등 주의 산만 요소를 없애고 재미있게 수업을 진행함으로 학생이 과제에 집중하게 한다.
통일문제 이해,통일교육원,"정부는 북한에 남북불가침협정체결, 남북간의 교류, 신뢰조성, 공정한 선거관리와 감시라는 평화통일 3대 기본원칙을 제안하였다. 이는 정책기조를 전환하는 계기가 되었으며 통일정책의 기본이 되고 있다."
사회적기업의 유형별 심층 사례 연구,,민주적 운영은 협동조합 경영의 핵심요소이나 많은 협동조합이 과정을 소홀히 하고 참여를 보장하지 않아 조합원의 무관심과 이탈을 야기하며 결사체가 약화되는 경향을 보인다. 농부장터의 운영방식은 단순이용과 주체적인 참여를 구분해 생산과 소비자가 인간적인 관계를 유지했는데 적정한 규모 유지와 주체적인 참여가 중요한 문제임을 알 수 있다.
2014 미래융합법제 연구논문 보고서,,"1982년 CAFC가 설립됐고 그 후에 88년 특허남용 개혁법이 실행됐는데, 이는 특허에 대한 권리 사용, 라이선스 거부 행위, 특허받은 제품의 판매가 다른 권리의 제품 구매를 조건으로 하는 행위 등을 추가했다."
산림 바이오매스 에너지,,"덴마크는 3㎽가 조금 넘는 출력으로 발열, 급탕시설을 운영하여 보급하고 있다. 안전하고 친환경이기에 우수한 방법이라고 할 수 있다."
남북한 영화 교류방안 연구,이명자,"조선영화인 동맹은 조선 문학 예술 총동맹의 이념과 역할을 공유하고 있다. 조선영화인 동맹은 당의 정책 침투, 성과 관철에 영화 분야 동원, 실무 교육, 선진 기술 도입, 생산 계획 완수를 위한 영화인들의 지도, 통제 감독을 주된 임무로 한다."
대형유통업체 구매협상력의 효과분석,,"유통 업체의 구매 협상력 개념을 수요독점 이론과 협상 이론 관점으로 구분해 논의 후 그 기인을 살펴보고, 행사 시의 효과를 상류와 하류 시장으로 구분해 논의한다."
"한반도 통일이 중국에 미칠 편익비용 분석(대외경제정책연구원, 2014)",,한˙중 협력은 여러 차원에서 진행할 수 있다. 그러나 국제정치학계가 제재를 논하는데 반해 경제학계에서는 제재 완화를 논의하고 있다. 북핵 문제 해결을 위해서는 필요하나 경제협력을 진행하기 위해서는 해제해야 한다.
농업기술 : 2015.07 (vol.590),,"곤충 사육에 앞서 적정한 사육규모 결정을 비롯한 사육계획을 세우는 것이 중요하다. 사육 대상의 선정, 사육 방법 등에 대한 기술적 검토도 충분히 해야 한다."
통일법제 Issue Paper,송인호,"그런데, 문제는 이원적 구성이 법체계와 실무에 비효율성을 초래한다는 것이다. 북한인권법 제13조 제2항과 5항 및 제14조 제3항을 참조하면 북한인권기록센터에는 원본이 없다는 점과 이후 원본에 대한 추가조사가 필요한 경우에 조사를 위한 법적 근거가 없다는 점의 문제 역시 존재한다. 특히, 이는 통일 후 인권침해 가해자 형사소추 시 증거능력 측면에서 한계를 보인다."
교원 양성 및 임용 체제 개편 방안,김병찬,"본 연구는 교원 양성과 임용 체제 개편의 질적 향상을 위한 수월성, 전문성 등 원리와 학교체제, 교육행정체제, 교원인사체제들과의 관계 정립의 방향을 정립하는 것을 중요한 과제로 삼고자 한다."
차세대 ICT 보건의료 발전에 따른 환자와 의사의 관계에서 인문학의 역할 정립,,"상호참여유형은 환자-의사의 관계에서 공감을 중요하게 여긴다. 환자의 자기관리 비중이 큰 만성 질병에서 자주 발견되는 이 모델은 상호 동등한 힘을 가진다는 것, 상호의존적이라는 것, 서로 만족할 수 있는 방법을 추구한다는 것이 핵심이며 잘 교육되고 환자-의사 관계 경험이 유사하고 반복되는 경우 적합하다. 대표적인 사례로 공동의사결정이 있으며 환자가 의학적 의사 결정에 도움을 줄 수 있는 도구를 통해 정보를 취하거나 주치의가 아닌 의료인이 조언이나 상담을 할 수도 있다."
행복한 교육,교육부,경포대는 강원도 안렴사 박숙이 창건한 경포호 일대를 한눈에 조망할 수 있는 곳이다.
주택임대차보호법상 소액임차인의 우선변제권 제한,김정우,소액임차권자는 배당요구를 해야만 우선배당을 받을 수 있다. 그 이유는 소액임차권의 여부를 알 수가 없기때문이다. 대법원도 판례를 통해 배당요구가 필요하다고 명시하고 있다.
집회 및 시위의 권리 보장과 공공질서의 조화를 위한 형사정책 연구,,경찰이 집회와 시위를 제한할 대 구체적 기준을 명시한다. 집회가 위협을 야기하리라는 합리적 믿음이 있다면 제한할 수 있다. 하지만 관용을 보여야만 한다.
2014년 KLI 정책리포트,한국노동연구원,"산업구조의 변화는 산업 내 고용구조의 변화를 만든다. 또한 외환 위기 이전에는 산업 내 분배율의 변화가  노동소득 분배율의 상승으로 이어진 반면, 외환 위기 이후에는 경제 전체의 노동소득 분배율이 하락하였다."
창조경제시대 방송통신위원회 의사결정 역량강화 방안 연구,,"시청률 조사는 해당 프로그램과 채널에 대한 실질적인 시청량을 파악하기 위한 조사로 방송사와 광고주, 방송 정책 수립에 영향을 주는 중요한 정보자료이다. "
2016~2020년 국가재정운용계획,한국개발연구원,"<자원기술개발사업>은 대학 등 다양한 연구주체들이 에너지기술평가원이 제안한 연구주제에 대한 사업 신청을 하면 경쟁 공모를 바탕으로 과제를 선정하고 선정된 기관에게 연구비를 지원한다. 에너지기술평가원은 연구수행과정을 관리, 평가한다. 연구비는 정부출연금과 참여기업의 매칭펀드로 구성된다."
행복한 교육 2014년 04월호,,"교복 패션을 대신해 명품 브랜드가 그 자리를 대신한 이유로는 패딩점퍼의 틈새시장 공략, 고가의 교복값, 아이의 고가 옷을 무분별하게 사주는 어른들, 옷으로 평가되는 서열화 등을 들 수 있다."
전국 환경방사능 조사보고서(2013년),,각 지방방사능측정소에서 저용량 연속 공기채집기를 설치하여 주1회 24시간 동안 공기부유진을 채집했다. 채집완료 후에는 누적 공기흡입량을 확인하고 계측시료로 사용하였다. 
사회보장성 기금 불법운용에 따른 재정손실 방지를 위한 형사정책적 대응방안,강석구,사회보장성 기금 관련 법령은 엄격하게 관리 되어야 하지만 현재 위탁업무 업체에 대한 주무부처의 직접적 관리 규정이 없다. 이 때문에 국가의 책임을 신뢰하기 어렵다.
2017 IP Insight: 해외 지식재산권 판례 심층분석 보고서,한국지식재산보호원,"특히 연방대법원은 미국 특허법 제271조(f)(1)은 미국 특허법 제271조(f)(2)와는 개별적인 특허침해행위를 언급하고 있는 규정으로서, 하나의 구성부품에 대한 수출행위와 연관이 있는 규정은 단수형 단어를 규정하고 있는 후자의 규정이라고 지적함으로써, 자신의 논리를 뒷받침하고 있다."
